A crier
A frapp p
A habiter
A mov p
A nutri
A organe p
A pare an
A q av som
A q constr
A q crie
A q nutri
A q rpt p
A rli qc p
A touch p
N adhér à
N adven p
N ali herb
N ali prod
N appart p
N artic p
N av som p
N boire
N chanter
N co str p
N color p
N commet p
N compt p
N condui p
N constr p
N cultur p
N célébr p
N danser
N dire ct
N dire nég
N dire p
N dire pr
N dirige p
N dli an p
N dli qc d
N dli qc p
N dli qn d
N dli qn p
N dmu an p
N dmu qc p
N dmu qn p
N exam p
N exercer
N extrac p
N f adhé p
N f ali p
N f appa p
N f arti p
N f brui p
N f dire p
N f habi p
N f mvt p
N f mvt pr
N f mvt qc
N f mvt qp
N f mvt sr
N f nutri
N f preuve
N f preuve d
N f preuve p
N f som p
N f stat p
N f subi p
N f suff d
N f épro p
N fab fg p
N fac fg p
N fac qc d
N fac qc p
N frapp p
N grip p
N gérer p
N habiter
N jouer
N jouer d
N jouer p
N jouer à
N lire p
N m an ds
N m liq ds
N m liq sr
N m qc ds
N m qc sr
N m qn ds
N m qn sr
N m sr soi
N mesure p
N mun an d
N mun an p
N mun qc d
N mun qc p
N mun qn d
N mun qn p
N mut qc p
N mut qn p
N opérat p
N organe p
N pare p
N parler
N prat p
N pratiq p
N q a exam
N q a org
N q a subi
N q adhér
N q adven
N q ali
N q ali hb
N q appa à
N q av som
N q boit
N q chante
N q color
N q commet
N q compt
N q condui
N q constr
N q crie
N q cultiv
N q célébr
N q danse
N q dirige
N q dit
N q dit ct
N q dit p
N q dit pr
N q dit à
N q dli d
N q dli p
N q dmu p
N q exam p
N q exerce
N q f ali
N q f appa
N q f brui
N q f mvt
N q f pare
N q f preu
N q f subi
N q f épro
N q fab fg
N q fac p
N q frapp
N q frappp
N q grip p
N q gère
N q habite
N q joue
N q joue d
N q joue p
N q joue à
N q lit
N q mesure
N q mun d
N q mut en
N q opérat
N q orig d
N q pare
N q parle
N q prat p
N q pratiq
N q reg an
N q reprod
N q rli p
N q rli q
N q rli qc
N q rli qn
N q rpt an
N q récolt
N q rég an
N q rég qn
N q rési à
N q soigne
N q subi p
N q subit
N q suff d
N q tire
N q tisse
N q trace
N q val x
N q écrit
N q éprouv
N q ê dmu
N q ê grip
N q ê m ds
N q ê mun
N q ê rpt
N q ê soin
N q ê vêt
N reprod p
N rli an p
N rli av p
N rli p
N rli qc p
N rli qn p
N rli qn à
N rli à p
N rpt an p
N rpt an v
N récolt p
N rég an p
N rég qn p
N situer p
N soigne p
N soin p
N struct p
N subir
N subir qc
N suff de
N tirer p
N tirer sr
N tisser p
N touch p
N tracer p
N val adv
N val x p
N versé en
N vêtir de
N écrire p
N éprouver
adhér adj
adhér adv
adhér à N
adven N
adven P
adven adj
adven adv
adven en N
adven p N
ali N
ali N herb
ali N pisc
ali adj
ali adv
ali hb v N
ali v N
an f mov N
an habit N
an mov N
an mov eau
an mov org
an mov sol
an pare an
an pare ov
an q habit
an q pare
appart adj
appart adv
appart p N
appart à N
artic N
artic adj
artic adv
artic p N
av rli N
av som N
av som adj
av som adv
av som p N
bacille adj
boire N
boire adj
boire adv
boire p N
boire v N
bruit N
bruit adj
bruit adv
chant adj
chant adv
chant voix
chante p N
chanter N
co str N
co str P
co str adj
co str adv
co str p N
color N
color adj
color adv
color p N
color v N
commet N
commet adj
commet adv
commet p N
commet v N
compt N
compt N d
compt N de
compt adj
compt adv
compt d N
compt p N
compt v N
compt xN
condu ds N
condu sr N
condui adj
condui adv
condui p N
condui v N
condui v n
conduire N
constr N
constr N d
constr N p
constr adj
constr adv
constr p N
constr v N
cri aboyer
cri adj
cri barrir
cri blatérer
cri braire
cri bramer
cri bêler
cri cancaner
cri chanter
cri criailler
cri croasser
cri feuler
cri glapir
cri glatir
cri grisoler
cri grogner
cri hennir
cri huir
cri hurler
cri jaser
cri mugir
cri roucouler
cri trisser
cri vagir
crier N
crier adj
crier adv
culture N
culture N
culture adj
culture adv
culture ds N
culture p N
culture v N
culture v N
célébrer N
célébrer adj
célébrer adv
célébrer ds N
célébrer p N
danser N
danser adj
danser ds N
dire N
dire N ct
dire N p
dire N pr
dire adj
dire adv
dire p N
diriger N
diriger adj
diriger adv
diriger p N
dl qc p N
dli N
dli adj
dli adj de
dli adv
dli p N
dli qc d N
dli qc p N
dli qn d N
dli qn p N
dmu adj
dmu qc p N
dmu qc v N
dmu qn d N
dmu qn p N
dmun adj
exam N
exam adj
exam adv
exam p N
exam v N
exam v n
excla N
excla P
exerce adj
exerce adv
exercer N
extrac N
extrac N d
extrac N p
extrac adj
extrac adv
extrac p N
extrac v N
extract N
f adhé p N
f ali p N
f appa p N
f bruit N
f bruit p N
f habi p N
f mvt p N
f mvt sr N
f preuve N
f preuve p N
f som p N
f stat N
f stat adv
f stat p N
f subi adj
f subi adv
f subi p N
f subi v N
f subir N
f suff adj
f suff p N
f épro adj
f épro p N
fab fg A
fab fg N
fab fg adj
fab fg adv
fab fg p N
fab fg v N
fac N
fac adj
fac adv
fac p N
fac qc p N
fac v N
frapp adj
frapp adv
frapp p N
frapp tr N
frapp v N
grip N
grip N p
grip adj
grip adv
grip p N
grip v N
gérer N
gérer adj
gérer adv
gérer p N
habite adj
habite adv
habiter N
jouer N
jouer V N
jouer adj
jouer adv
jouer d N
jouer ds N
jouer p N
jouer sr N
jouer v N
jouer à N
lire N
lire adj
lire adv
lire p N
m N ds lc
m N ds qc
m N ds rcp
m N sr qc
m an ds N
m an p N
m an sr N
m ds p N
m liq p N
m q ds p N
m qc adj
m qc adv
m qc ds N
m qc p N
m qc sr N
m qn ds N
m qn p N
m qn sr N
mesure adj
mesure adv
mesure p N
mesure v N
mesure xN
mesurer N
mun adj
mun adv
mun an d N
mun an p N
mun qc d N
mun qc p N
mun qn d N
mun qn p N
mut adj
mut qc p N
mut qn p N
mvt adj
mvt adv
mvt p N
n f preuve
nutri adj
nutri p N
opérat adj
opérat adv
opérat p N
opérat v N
organe N
organe adj
organe adv
organe p N
orig adj
orig adv
orig p N
pare N
pare adj
pare adv
pare p N
parle lc N
parler N
parler Nx
parler adj
parler adv
parler p N
pisc adj
prat N
prat adj
prat adv
prat ds N
prat p N
prat v N
pratiq N
pratiq adj
pratiq adv
pratiq p N
pratiq v N
preuve N
preuve adj
preuve adv
preuve p N
qc f mvt N
qn f mvt N
reprod adj
reprod adv
reprod p N
reprod v N
rli adj
rli adv
rli an p N
rli an v N
rli av p N
rli p N
rli qc d N
rli qc p N
rli qc v N
rli qn d N
rli qn p N
rli qn v N
rli v N
rli à p N
rli à qc p
rpt an adj
rpt an adv
rpt an p N
rpt an v N
rpt ds N
récolt N
récolt adj
récolt p N
récolt v N
rég N p
rég adj
rég adv
rég an adj
rég an p N
rég ds N
rég p N
rég qn p N
situer N
situer adj
situer adv
situer p N
soign ds N
soign p N
soign v N
soigne adj
soigne adv
soigne p N
soigne v N
soin adj
soin adv
soin p N
som v N
stat N
stat adj
stat adv
struct N
struct adj
struct adv
struct p N
structur N
subir N
subir adj
subir adv
subir p N
suff adj
suff adv
suff de N
tirer N sr
tirer adj
tirer adv
tirer p N
tirer sr N
tirer v N
tisser N
tisser adj
tisser adv
tisser p N
tisser v N
touch adj
touch p N
tracer N
tracer N p
tracer adj
tracer adv
tracer p N
val N
val adj
val adv
val p N
val qc p N
val ql de
val qt d x
val qt de
val x adj
val x adv
val x p N
versé adj
versé adv
versé en N
vêtir N
vêtir adj
vêtir adv
vêtir p N
écrire N
écrire adj
écrire adv
écrire p N
écrire v N
écrit sr N
éprouv adj
éprouv adv
éprouver N
